Row,Description,Part,References,Value,Footprint,Quantity Per PCB,Status,Datasheet
1,Unpolarized capacitor,C,C2 C3,100n,C_0805_2012Metric,2, ,~
2,Unpolarized capacitor,C,C1,10u,C_0805_2012Metric,1, ,~
3,"75V 0.15A Fast Switching Diode, SOD-123",1N4148W,D1 D2 D3,1N4148W,D_SOD-123,3, ,https://www.vishay.com/docs/85748/1n4148w.pdf
4,Light emitting diode,LED,D4,LED,LED_0805_2012Metric,1, ,~
5,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x02,J3 J4 J5 J6,aux_switch_1,Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical,4, ,~
6,"Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)",Conn_01x05,J1 J2,i2c_ctl_port,Molex_KK-254_AE-6410-05A_1x05_P2.54mm_Vertical,2, ,~
7,,I2C_addr_jumper,JP1 JP2,I2C_addr_jumper,I2C_addr_jumper,2, ,
8,Resistor,R,R4,3k3,R_0805_2012Metric,1, ,~
9,Resistor,R,R3,10k,R_0805_2012Metric,1, ,~
10,Resistor,R,R1 R2,opt,R_0805_2012Metric,2, ,~
11,"Switch, single pole double throw, center OFF position",SW_DPDT_CO,SW0 SW1 SW2 SW3 SW4 SW5 SW6 SW7 SW8 SW9 SW10 SW11 SW12 SW13 SW14 SW15,SW_DPDT_CO,orange_DPDT,16, ,~
12,"IO expander 16 GPIO, I2C 400kHz, Interrupt, 2.3 - 5.5V, SOIC-24",PCA9555D,U1 U2,PCA9555D,SOIC-24W_7.5x15.4mm_P1.27mm,2, ,https://www.nxp.com/docs/en/data-sheet/PCA9555.pdf
13,"Single Power Supply, Single Buffer GATE, CMOS Logic, Level Shifter, SOT-23-5",SN74LV1T34DBV,U3,SN74LV1T34DBV,SOT-23-5,1, ,https://www.ti.com/lit/ds/symlink/sn74lv1t34.pdf





Project info:
Schematic:,switch_board
Variant:,default
Revision:,0.1
Date:,2022-08-13
KiCad Version:,6.0.5+dfsg-1~bpo11+1
Statistics:
Component Groups:,13
Component Count:,38 (14 SMD/ 22 THT)
Fitted Components:,38 (14 SMD/ 22 THT)
Number of PCBs:,1
Total Components:,38
